-0.631413 -0.709089 0.313863 -2.59083, 0.705002 -0.199547 -0.680553 -2.54036
-0.60091 0.776616 0.189142 -1.08817, -0.756613 -0.0771786 -0.649292 -1.10478
0.241828 -0.95667 -0.162179 -0.879233, 0.962247 0.119298 0.244642 -1.00239
-0.300826 -0.658613 0.689734 -0.594515, 0.55091 -0.657968 -0.513398 -0.603161
-0.232806 0.959331 0.159639 -0.549912, -0.925021 -0.0982986 -0.366979 -0.641186
-0.724906 0.369554 -0.581328 -1.06833, -0.27523 0.742781 -0.610348 -1.14783
-0.51602 0.852729 0.0810982 -2.36231, -0.809069 0.0240989 -0.58722 -2.50236
-0.46855 -0.200509 0.860382 -1.36602, 0.163379 -0.74901 -0.642099 -1.33931
-0.529197 -0.788762 -0.31274 -1.51197, 0.76739 0.41244 -0.490923 -1.63183
-0.412053 -0.809986 0.417294 -2.05998, 0.715081 -0.358308 -0.600228 -2.22439
-0.10544 -0.98936 -0.100245 -1.66419, 0.966822 0.130622 -0.219529 -1.96087
-0.710563 0.560607 0.42523 -1.40585, -0.470803 -0.302008 -0.828937 -1.48571
